age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
60,Administrative,Married,Secondary,No,39.0,Yes,Yes,Unknown,5,May,208.0,1,-1.0,0,Unknown,No
59,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,226.0,1,-1.0,0,Unknown,No
51,Management,Married,Tertiary,No,10635.0,Yes,No,Unknown,5,May,336.0,1,-1.0,0,Unknown,No
57,Technician,Divorced,Secondary,No,63.0,Yes,No,Unknown,5,May,242.0,1,-1.0,0,Unknown,No
25,Blue-collar,Married,Secondary,No,-7.0,Yes,No,Unknown,5,May,365.0,1,-1.0,0,Unknown,No
53,Technician,Married,Secondary,No,-3.0,No,No,Unknown,5,May,1666.0,1,-1.0,0,Unknown,No
36,Administrative,Divorced,Secondary,No,506.0,Yes,No,Unknown,5,May,577.0,1,-1.0,0,Unknown,No
37,Administrative,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,137.0,1,-1.0,0,Unknown,No
44,Services,Divorced,Secondary,No,2586.0,Yes,No,Unknown,5,May,160.0,1,-1.0,0,Unknown,No
50,Management,Married,Secondary,No,49.0,Yes,No,Unknown,5,May,180.0,2,-1.0,0,Unknown,No
60,Blue-collar,Married,Unknown,No,104.0,Yes,No,Unknown,5,May,22.0,1,-1.0,0,Unknown,No
54,Retired,Married,Secondary,No,529.0,Yes,No,Unknown,5,May,1492.0,1,-1.0,0,Unknown,No
58,Retired,Married,Unknown,No,96.0,Yes,No,Unknown,5,May,616.0,1,-1.0,0,Unknown,No
36,Administrative,Single,Primary,No,-171.0,Yes,No,Unknown,5,May,242.0,1,-1.0,0,Unknown,No
58,Self-employed,Married,Tertiary,No,-364.0,Yes,No,Unknown,5,May,355.0,1,-1.0,0,Unknown,No
44,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,225.0,2,-1.0,0,Unknown,No
55,Technician,Divorced,Secondary,No,0.0,No,No,Unknown,5,May,160.0,1,-1.0,0,Unknown,No
29,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,363.0,1,-1.0,0,Unknown,No
54,Blue-collar,Married,Secondary,No,1291.0,Yes,No,Unknown,5,May,266.0,1,-1.0,0,Unknown,No
48,Management,Divorced,Tertiary,No,-244.0,Yes,No,Unknown,5,May,253.0,1,-1.0,0,Unknown,No
32,Management,Married,Tertiary,No,0.0,Yes,No,Unknown,5,May,179.0,1,-1.0,0,Unknown,No
42,Administrative,Single,Secondary,No,-76.0,Yes,No,Unknown,5,May,787.0,1,-1.0,0,Unknown,No
24,Technician,Single,Secondary,No,-103.0,Yes,Yes,Unknown,5,May,145.0,1,-1.0,0,Unknown,No
38,Entrepreneur,Single,Tertiary,No,243.0,No,Yes,Unknown,5,May,174.0,1,-1.0,0,Unknown,No
38,Management,Single,Tertiary,No,424.0,Yes,No,Unknown,5,May,104.0,1,-1.0,0,Unknown,No
47,Blue-collar,Married,Unknown,No,306.0,Yes,No,Unknown,5,May,13.0,1,-1.0,0,Unknown,No
40,Blue-collar,Single,Unknown,No,24.0,Yes,No,Unknown,5,May,185.0,1,-1.0,0,Unknown,No
46,Services,Married,Primary,No,179.0,Yes,No,Unknown,5,May,1778.0,1,-1.0,0,Unknown,No
32,Administrative,Married,Tertiary,No,0.0,Yes,No,Unknown,5,May,138.0,1,-1.0,0,Unknown,No
53,Technician,Divorced,Secondary,No,989.0,Yes,No,Unknown,5,May,812.0,1,-1.0,0,Unknown,No
57,Blue-collar,Married,Primary,No,249.0,Yes,No,Unknown,5,May,164.0,1,-1.0,0,Unknown,No
33,Services,Married,Secondary,No,790.0,Yes,No,Unknown,5,May,391.0,1,-1.0,0,Unknown,No
49,Blue-collar,Married,Unknown,No,154.0,Yes,No,Unknown,5,May,357.0,1,-1.0,0,Unknown,No
51,Management,Married,Tertiary,No,6530.0,Yes,No,Unknown,5,May,91.0,1,-1.0,0,Unknown,No
60,Retired,Married,Tertiary,No,100.0,No,No,Unknown,5,May,528.0,1,-1.0,0,Unknown,No
59,Management,Divorced,Tertiary,No,59.0,Yes,No,Unknown,5,May,273.0,1,-1.0,0,Unknown,No
55,Technician,Married,Secondary,No,1205.0,Yes,No,Unknown,5,May,158.0,2,-1.0,0,Unknown,No
35,Blue-collar,Single,Secondary,No,12223.0,Yes,Yes,Unknown,5,May,177.0,1,-1.0,0,Unknown,No
57,Blue-collar,Married,Secondary,No,5935.0,Yes,Yes,Unknown,5,May,258.0,1,-1.0,0,Unknown,No
31,Services,Married,Secondary,No,25.0,Yes,Yes,Unknown,5,May,172.0,1,-1.0,0,Unknown,No
54,Management,Married,Secondary,No,282.0,Yes,Yes,Unknown,5,May,154.0,1,-1.0,0,Unknown,No
55,Blue-collar,Married,Primary,No,23.0,Yes,No,Unknown,5,May,291.0,1,-1.0,0,Unknown,No
43,Technician,Married,Secondary,No,1937.0,Yes,No,Unknown,5,May,181.0,1,-1.0,0,Unknown,No
53,Technician,Married,Secondary,No,384.0,Yes,No,Unknown,5,May,176.0,1,-1.0,0,Unknown,No
44,Blue-collar,Married,Secondary,No,582.0,No,Yes,Unknown,5,May,211.0,1,-1.0,0,Unknown,No
55,Services,Divorced,Secondary,No,91.0,No,No,Unknown,5,May,349.0,1,-1.0,0,Unknown,No
49,Services,Divorced,Secondary,No,0.0,Yes,Yes,Unknown,5,May,272.0,1,-1.0,0,Unknown,No
55,Services,Divorced,Secondary,Yes,1.0,Yes,No,Unknown,5,May,208.0,1,-1.0,0,Unknown,No
45,Administrative,Single,Secondary,No,206.0,Yes,No,Unknown,5,May,193.0,1,-1.0,0,Unknown,No
47,Services,Divorced,Secondary,No,164.0,No,No,Unknown,5,May,212.0,1,-1.0,0,Unknown,No
42,Technician,Single,Secondary,No,690.0,Yes,No,Unknown,5,May,20.0,1,-1.0,0,Unknown,No
59,Administrative,Married,Secondary,No,2343.0,Yes,No,Unknown,5,May,1042.0,1,-1.0,0,Unknown,Yes
46,Self-employed,Married,Tertiary,No,137.0,Yes,Yes,Unknown,5,May,246.0,1,-1.0,0,Unknown,No
51,Blue-collar,Married,Primary,No,173.0,Yes,No,Unknown,5,May,529.0,2,-1.0,0,Unknown,No
56,Administrative,Married,Secondary,No,45.0,No,No,Unknown,5,May,1467.0,1,-1.0,0,Unknown,Yes
46,Management,Divorced,Secondary,No,16.0,Yes,Yes,Unknown,5,May,188.0,2,-1.0,0,Unknown,No
57,Retired,Married,Secondary,No,486.0,Yes,No,Unknown,5,May,180.0,2,-1.0,0,Unknown,No
42,Management,Single,Secondary,No,50.0,No,No,Unknown,5,May,48.0,1,-1.0,0,Unknown,No
30,Technician,Married,Secondary,No,152.0,Yes,Yes,Unknown,5,May,213.0,2,-1.0,0,Unknown,No
60,Administrative,Married,Secondary,No,290.0,Yes,No,Unknown,5,May,583.0,1,-1.0,0,Unknown,No
60,Blue-collar,Married,Unknown,No,54.0,Yes,No,Unknown,5,May,221.0,1,-1.0,0,Unknown,No
57,Entrepreneur,Divorced,Secondary,No,-37.0,No,No,Unknown,5,May,173.0,1,-1.0,0,Unknown,No
36,Management,Married,Tertiary,No,101.0,Yes,Yes,Unknown,5,May,426.0,1,-1.0,0,Unknown,No
55,Blue-collar,Married,Secondary,No,383.0,No,No,Unknown,5,May,287.0,1,-1.0,0,Unknown,No
60,Retired,Married,Tertiary,No,81.0,Yes,No,Unknown,5,May,101.0,1,-1.0,0,Unknown,No
39,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,203.0,1,-1.0,0,Unknown,No
46,Management,Married,Tertiary,No,229.0,Yes,No,Unknown,5,May,197.0,1,-1.0,0,Unknown,No
44,Blue-collar,Married,Secondary,No,-674.0,Yes,No,Unknown,5,May,257.0,1,-1.0,0,Unknown,No
53,Blue-collar,Married,Primary,No,90.0,No,No,Unknown,5,May,124.0,1,-1.0,0,Unknown,No
52,Blue-collar,Married,Primary,No,128.0,Yes,No,Unknown,5,May,229.0,1,-1.0,0,Unknown,No
59,Blue-collar,Married,Primary,No,179.0,Yes,No,Unknown,5,May,55.0,3,-1.0,0,Unknown,No
27,Technician,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,400.0,1,-1.0,0,Unknown,No
44,Blue-collar,Married,Secondary,No,54.0,Yes,No,Unknown,5,May,197.0,1,-1.0,0,Unknown,No
47,Technician,Married,Tertiary,No,151.0,Yes,No,Unknown,5,May,190.0,1,-1.0,0,Unknown,No
34,Administrative,Married,Secondary,No,61.0,No,Yes,Unknown,5,May,21.0,1,-1.0,0,Unknown,No
59,Retired,Single,Secondary,No,30.0,Yes,No,Unknown,5,May,514.0,1,-1.0,0,Unknown,No
45,Management,Married,Tertiary,No,523.0,Yes,No,Unknown,5,May,849.0,2,-1.0,0,Unknown,No
29,Services,Divorced,Secondary,No,31.0,Yes,No,Unknown,5,May,194.0,1,-1.0,0,Unknown,No
46,Technician,Divorced,Secondary,No,79.0,No,No,Unknown,5,May,144.0,1,-1.0,0,Unknown,No
56,Self-employed,Married,Primary,No,-34.0,Yes,Yes,Unknown,5,May,212.0,2,-1.0,0,Unknown,No
36,Blue-collar,Married,Primary,No,448.0,Yes,No,Unknown,5,May,286.0,1,-1.0,0,Unknown,No
59,Retired,Divorced,Primary,No,81.0,Yes,No,Unknown,5,May,107.0,1,-1.0,0,Unknown,No
44,Blue-collar,Married,Secondary,No,144.0,Yes,No,Unknown,5,May,247.0,2,-1.0,0,Unknown,No
41,Administrative,Married,Secondary,No,351.0,Yes,No,Unknown,5,May,518.0,1,-1.0,0,Unknown,No
33,Management,Single,Tertiary,No,-67.0,Yes,No,Unknown,5,May,364.0,1,-1.0,0,Unknown,No
59,Management,Divorced,Tertiary,No,262.0,No,No,Unknown,5,May,178.0,1,-1.0,0,Unknown,No
57,Technician,Married,Primary,No,0.0,No,No,Unknown,5,May,98.0,1,-1.0,0,Unknown,No
56,Technician,Divorced,Unknown,No,56.0,Yes,No,Unknown,5,May,439.0,1,-1.0,0,Unknown,No
51,Blue-collar,Married,Secondary,No,26.0,Yes,No,Unknown,5,May,79.0,1,-1.0,0,Unknown,No
34,Administrative,Married,Unknown,No,3.0,Yes,No,Unknown,5,May,120.0,3,-1.0,0,Unknown,No
43,Services,Married,Secondary,No,41.0,Yes,Yes,Unknown,5,May,127.0,2,-1.0,0,Unknown,No
52,Technician,Married,Tertiary,No,7.0,No,Yes,Unknown,5,May,175.0,1,-1.0,0,Unknown,No
33,Technician,Single,Secondary,No,105.0,Yes,No,Unknown,5,May,262.0,2,-1.0,0,Unknown,No
29,Administrative,Single,Secondary,No,818.0,Yes,Yes,Unknown,5,May,61.0,1,-1.0,0,Unknown,No
34,Services,Married,Secondary,No,-16.0,Yes,Yes,Unknown,5,May,78.0,1,-1.0,0,Unknown,No
31,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,143.0,1,-1.0,0,Unknown,No
55,Services,Married,Secondary,No,2476.0,Yes,No,Unknown,5,May,579.0,1,-1.0,0,Unknown,Yes
55,Management,Married,Unknown,No,1185.0,No,No,Unknown,5,May,677.0,1,-1.0,0,Unknown,No
32,Administrative,Single,Secondary,No,217.0,Yes,No,Unknown,5,May,345.0,1,-1.0,0,Unknown,No
38,Technician,Single,Secondary,No,1685.0,Yes,No,Unknown,5,May,185.0,1,-1.0,0,Unknown,No
55,Administrative,Single,Secondary,No,802.0,Yes,Yes,Unknown,5,May,100.0,2,-1.0,0,Unknown,No
28,Unemployed,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,125.0,2,-1.0,0,Unknown,No
23,Blue-collar,Married,Secondary,No,94.0,Yes,No,Unknown,5,May,193.0,1,-1.0,0,Unknown,No
32,Technician,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,136.0,1,-1.0,0,Unknown,No
43,Services,Single,Unknown,No,0.0,No,No,Unknown,5,May,73.0,1,-1.0,0,Unknown,No
32,Blue-collar,Married,Secondary,No,517.0,Yes,No,Unknown,5,May,528.0,1,-1.0,0,Unknown,No
46,Blue-collar,Married,Secondary,No,265.0,Yes,No,Unknown,5,May,541.0,1,-1.0,0,Unknown,No
53,Housemaid,Divorced,Primary,No,947.0,Yes,No,Unknown,5,May,163.0,1,-1.0,0,Unknown,No
34,Self-employed,Single,Secondary,No,3.0,Yes,No,Unknown,5,May,301.0,1,-1.0,0,Unknown,No
57,Unemployed,Married,Tertiary,No,42.0,No,No,Unknown,5,May,46.0,1,-1.0,0,Unknown,No
37,Blue-collar,Married,Secondary,No,37.0,Yes,No,Unknown,5,May,204.0,1,-1.0,0,Unknown,No
59,Blue-collar,Married,Secondary,No,57.0,Yes,No,Unknown,5,May,98.0,1,-1.0,0,Unknown,No
33,Services,Married,Secondary,No,22.0,Yes,No,Unknown,5,May,71.0,1,-1.0,0,Unknown,No
56,Blue-collar,Divorced,Primary,No,8.0,Yes,No,Unknown,5,May,157.0,2,-1.0,0,Unknown,No
48,Unemployed,Married,Secondary,No,293.0,Yes,No,Unknown,5,May,243.0,1,-1.0,0,Unknown,No
43,Services,Married,Primary,No,3.0,Yes,No,Unknown,5,May,186.0,2,-1.0,0,Unknown,No
54,Blue-collar,Married,Primary,No,348.0,Yes,No,Unknown,5,May,579.0,2,-1.0,0,Unknown,No
51,Blue-collar,Married,Unknown,No,-19.0,Yes,No,Unknown,5,May,163.0,2,-1.0,0,Unknown,No
26,Student,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,610.0,2,-1.0,0,Unknown,No
39,Management,Married,Secondary,No,18.0,Yes,No,Unknown,5,May,85.0,1,-1.0,0,Unknown,No
50,Technician,Married,Primary,No,139.0,No,No,Unknown,5,May,114.0,2,-1.0,0,Unknown,No
41,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,114.0,2,-1.0,0,Unknown,No
51,Blue-collar,Married,Unknown,No,1883.0,Yes,No,Unknown,5,May,57.0,1,-1.0,0,Unknown,No
60,Retired,Divorced,Secondary,No,216.0,Yes,No,Unknown,5,May,238.0,1,-1.0,0,Unknown,No
52,Blue-collar,Married,Secondary,No,782.0,Yes,No,Unknown,5,May,93.0,3,-1.0,0,Unknown,No
48,Blue-collar,Married,Secondary,No,904.0,Yes,No,Unknown,5,May,128.0,2,-1.0,0,Unknown,No
48,Services,Married,Unknown,No,1705.0,Yes,No,Unknown,5,May,107.0,1,-1.0,0,Unknown,No
39,Technician,Single,Tertiary,No,47.0,Yes,No,Unknown,5,May,181.0,1,-1.0,0,Unknown,No
47,Services,Single,Secondary,No,176.0,Yes,No,Unknown,5,May,303.0,2,-1.0,0,Unknown,No
40,Blue-collar,Married,Secondary,No,1225.0,Yes,No,Unknown,5,May,558.0,5,-1.0,0,Unknown,No
45,Technician,Married,Secondary,No,86.0,Yes,No,Unknown,5,May,270.0,1,-1.0,0,Unknown,No
26,Administrative,Single,Secondary,No,82.0,Yes,No,Unknown,5,May,228.0,1,-1.0,0,Unknown,No
52,Management,Married,Tertiary,No,271.0,Yes,No,Unknown,5,May,99.0,1,-1.0,0,Unknown,No
54,Technician,Married,Secondary,No,1378.0,Yes,No,Unknown,5,May,240.0,1,-1.0,0,Unknown,No
54,Administrative,Married,Tertiary,No,184.0,No,No,Unknown,5,May,673.0,2,-1.0,0,Unknown,Yes
50,Blue-collar,Married,Primary,No,0.0,No,No,Unknown,5,May,233.0,3,-1.0,0,Unknown,No
35,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,1056.0,1,-1.0,0,Unknown,No
44,Services,Married,Secondary,No,1357.0,Yes,Yes,Unknown,5,May,250.0,1,-1.0,0,Unknown,No
53,Entrepreneur,Married,Unknown,No,19.0,Yes,No,Unknown,5,May,252.0,1,-1.0,0,Unknown,No
35,Retired,Single,Primary,No,434.0,No,No,Unknown,5,May,138.0,1,-1.0,0,Unknown,No
60,Administrative,Divorced,Secondary,No,92.0,Yes,No,Unknown,5,May,130.0,1,-1.0,0,Unknown,No
53,Administrative,Divorced,Secondary,No,1151.0,Yes,No,Unknown,5,May,412.0,1,-1.0,0,Unknown,No
48,Unemployed,Married,Secondary,No,41.0,Yes,No,Unknown,5,May,179.0,2,-1.0,0,Unknown,No
34,Technician,Married,Secondary,No,51.0,Yes,No,Unknown,5,May,19.0,2,-1.0,0,Unknown,No
54,Services,Married,Secondary,No,214.0,Yes,No,Unknown,5,May,458.0,2,-1.0,0,Unknown,No
51,Management,Married,Secondary,No,1161.0,Yes,No,Unknown,5,May,717.0,1,-1.0,0,Unknown,No
31,Services,Married,Tertiary,No,37.0,Yes,No,Unknown,5,May,313.0,1,-1.0,0,Unknown,No
35,Technician,Divorced,Secondary,No,787.0,Yes,No,Unknown,5,May,683.0,2,-1.0,0,Unknown,No
35,Services,Married,Secondary,No,59.0,Yes,No,Unknown,5,May,1077.0,1,-1.0,0,Unknown,No
38,Technician,Married,Secondary,No,253.0,Yes,No,Unknown,5,May,416.0,1,-1.0,0,Unknown,No
36,Administrative,Married,Tertiary,No,211.0,Yes,No,Unknown,5,May,146.0,2,-1.0,0,Unknown,No
58,Retired,Married,Primary,No,235.0,Yes,No,Unknown,5,May,167.0,1,-1.0,0,Unknown,No
40,Services,Divorced,Unknown,No,4384.0,Yes,No,Unknown,5,May,315.0,1,-1.0,0,Unknown,No
54,Management,Married,Secondary,No,4080.0,No,No,Unknown,5,May,140.0,1,-1.0,0,Unknown,No
34,Blue-collar,Single,Secondary,No,53.0,Yes,Yes,Unknown,5,May,346.0,1,-1.0,0,Unknown,No
31,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,562.0,1,-1.0,0,Unknown,No
51,Retired,Married,Secondary,No,2127.0,Yes,No,Unknown,5,May,172.0,1,-1.0,0,Unknown,No
33,Management,Married,Tertiary,No,377.0,Yes,No,Unknown,5,May,217.0,1,-1.0,0,Unknown,No
55,Management,Married,Tertiary,No,73.0,Yes,No,Unknown,5,May,142.0,2,-1.0,0,Unknown,No
42,Administrative,Married,Secondary,No,445.0,Yes,No,Unknown,5,May,67.0,1,-1.0,0,Unknown,No
34,Blue-collar,Married,Secondary,No,243.0,Yes,No,Unknown,5,May,291.0,1,-1.0,0,Unknown,No
33,Blue-collar,Single,Secondary,No,307.0,Yes,No,Unknown,5,May,309.0,2,-1.0,0,Unknown,No
38,Services,Married,Secondary,No,155.0,Yes,No,Unknown,5,May,248.0,1,-1.0,0,Unknown,No
50,Technician,Divorced,Tertiary,No,173.0,No,Yes,Unknown,5,May,98.0,1,-1.0,0,Unknown,No
43,Management,Married,Tertiary,No,400.0,Yes,No,Unknown,5,May,256.0,1,-1.0,0,Unknown,No
61,Blue-collar,Divorced,Primary,No,1428.0,Yes,No,Unknown,5,May,82.0,2,-1.0,0,Unknown,No
47,Administrative,Married,Secondary,No,219.0,Yes,No,Unknown,5,May,577.0,1,-1.0,0,Unknown,No
48,Self-employed,Married,Tertiary,No,7.0,Yes,No,Unknown,5,May,286.0,1,-1.0,0,Unknown,No
44,Blue-collar,Married,Secondary,No,575.0,Yes,No,Unknown,5,May,477.0,1,-1.0,0,Unknown,No
35,Student,Single,Unknown,No,298.0,Yes,No,Unknown,5,May,611.0,2,-1.0,0,Unknown,No
35,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,471.0,1,-1.0,0,Unknown,No
50,Services,Married,Secondary,No,5699.0,Yes,No,Unknown,5,May,381.0,2,-1.0,0,Unknown,No
41,Management,Married,Tertiary,No,176.0,Yes,Yes,Unknown,5,May,42.0,1,-1.0,0,Unknown,No
41,Management,Married,Tertiary,No,517.0,Yes,No,Unknown,5,May,251.0,1,-1.0,0,Unknown,No
39,Services,Single,Unknown,No,257.0,Yes,No,Unknown,5,May,408.0,1,-1.0,0,Unknown,No
42,Retired,Married,Secondary,No,56.0,Yes,No,Unknown,5,May,215.0,1,-1.0,0,Unknown,No
38,Blue-collar,Married,Secondary,No,-390.0,Yes,No,Unknown,5,May,287.0,1,-1.0,0,Unknown,No
53,Retired,Married,Secondary,No,330.0,Yes,No,Unknown,5,May,216.0,2,-1.0,0,Unknown,No
59,Housemaid,Divorced,Primary,No,195.0,No,No,Unknown,5,May,366.0,2,-1.0,0,Unknown,No
36,Services,Married,Secondary,No,301.0,Yes,No,Unknown,5,May,210.0,1,-1.0,0,Unknown,No
54,Blue-collar,Married,Primary,No,-41.0,Yes,No,Unknown,5,May,288.0,1,-1.0,0,Unknown,No
40,Technician,Married,Tertiary,No,483.0,Yes,No,Unknown,5,May,168.0,1,-1.0,0,Unknown,No
47,Unknown,Married,Unknown,No,28.0,No,No,Unknown,5,May,338.0,2,-1.0,0,Unknown,No
53,Unemployed,Married,Unknown,No,13.0,No,No,Unknown,5,May,410.0,3,-1.0,0,Unknown,No
46,Housemaid,Married,Primary,No,965.0,No,No,Unknown,5,May,177.0,1,-1.0,0,Unknown,No
39,Management,Married,Tertiary,No,378.0,Yes,Yes,Unknown,5,May,127.0,2,-1.0,0,Unknown,No
40,Unemployed,Married,Secondary,No,219.0,Yes,No,Unknown,5,May,357.0,1,-1.0,0,Unknown,No
28,Blue-collar,Married,Primary,No,324.0,Yes,No,Unknown,5,May,175.0,1,-1.0,0,Unknown,No
35,Entrepreneur,Divorced,Secondary,No,-69.0,Yes,No,Unknown,5,May,300.0,1,-1.0,0,Unknown,No
55,Retired,Married,Secondary,No,0.0,No,Yes,Unknown,5,May,136.0,1,-1.0,0,Unknown,No
43,Technician,Divorced,Unknown,No,205.0,Yes,No,Unknown,5,May,1419.0,1,-1.0,0,Unknown,No
48,Blue-collar,Married,Primary,No,278.0,Yes,No,Unknown,5,May,125.0,2,-1.0,0,Unknown,No
58,Management,Married,Unknown,No,1065.0,Yes,No,Unknown,5,May,213.0,3,-1.0,0,Unknown,No
33,Management,Single,Tertiary,No,34.0,Yes,No,Unknown,5,May,27.0,1,-1.0,0,Unknown,No
36,Blue-collar,Married,Unknown,No,1033.0,No,No,Unknown,5,May,238.0,2,-1.0,0,Unknown,No
47,Blue-collar,Married,Primary,No,-12.0,Yes,No,Unknown,5,May,18.0,1,-1.0,0,Unknown,No
31,Services,Married,Secondary,No,388.0,Yes,No,Unknown,5,May,730.0,2,-1.0,0,Unknown,No
57,Entrepreneur,Married,Secondary,No,294.0,Yes,No,Unknown,5,May,746.0,2,-1.0,0,Unknown,No
53,Blue-collar,Married,Unknown,No,1827.0,No,No,Unknown,5,May,121.0,1,-1.0,0,Unknown,No
55,Blue-collar,Married,Primary,No,627.0,Yes,No,Unknown,5,May,247.0,1,-1.0,0,Unknown,No
45,Blue-collar,Married,Primary,No,25.0,Yes,No,Unknown,5,May,40.0,1,-1.0,0,Unknown,No
53,Administrative,Divorced,Secondary,No,315.0,Yes,No,Unknown,5,May,181.0,2,-1.0,0,Unknown,No
37,Blue-collar,Married,Primary,No,0.0,Yes,No,Unknown,5,May,79.0,1,-1.0,0,Unknown,No
44,Administrative,Divorced,Secondary,No,66.0,Yes,No,Unknown,5,May,206.0,1,-1.0,0,Unknown,No
49,Blue-collar,Divorced,Primary,No,-9.0,Yes,Yes,Unknown,5,May,389.0,1,-1.0,0,Unknown,No
46,Technician,Married,Secondary,No,349.0,Yes,Yes,Unknown,5,May,127.0,1,-1.0,0,Unknown,No
43,Entrepreneur,Married,Unknown,No,100.0,Yes,No,Unknown,5,May,702.0,1,-1.0,0,Unknown,No
38,Administrative,Married,Secondary,No,0.0,No,No,Unknown,5,May,151.0,1,-1.0,0,Unknown,No
43,Technician,Married,Secondary,No,434.0,Yes,No,Unknown,5,May,117.0,1,-1.0,0,Unknown,No
49,Management,Married,Tertiary,No,3237.0,Yes,No,Unknown,5,May,232.0,3,-1.0,0,Unknown,No
42,Management,Married,Unknown,No,275.0,No,No,Unknown,5,May,408.0,2,-1.0,0,Unknown,No
22,Blue-collar,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,179.0,2,-1.0,0,Unknown,No
40,Management,Married,Tertiary,No,207.0,Yes,No,Unknown,5,May,39.0,1,-1.0,0,Unknown,No
39,Blue-collar,Married,Secondary,No,483.0,Yes,No,Unknown,5,May,282.0,1,-1.0,0,Unknown,No
51,Services,Married,Secondary,No,2248.0,Yes,No,Unknown,5,May,714.0,2,-1.0,0,Unknown,No
